"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U5,U6";"DRV8834Breakout";2;"DRV8834_Breakout";;;
2;"U2";"RFM69Breakout";1;"RFM69_Breakout";;;
3;"REF**,REF**,REF**,REF**";"MountingHole_3.5mm_Pad";4;"Mount";;;
4;"REF**,REF**";"1pin";2;"1pin";;;
5;"C1,C2";"C_Disc_D4.3mm_W1.9mm_P5.00mm";2;"0.47uF";;;
6;"C3";"CP_Radial_D10.0mm_P5.00mm";1;"470uF";;;
7;"P1";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"SEN";;;
8;"P2";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"SRV";;;
9;"P3";"TerminalBlock_Pheonix_MPT-2.54mm_2pol";1;"PWR";;;
10;"P4";"Pin_Header_Straight_2x01_Pitch2.54mm";1;"LED";;;
11;"P5";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"M1";;;
12;"P6";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"M2";;;
13;"Q1";"TO-92_Inline_Wide";1;"5LN01SP";;;
14;"R1,R5,R6,R7,R11,R12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";6;"20k";;;
15;"R4,R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"1M";;;
16;"R13";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"10R";;;
17;"Rc1,Rc2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"36k";;;
18;"Rd1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"6.2k";;;
19;"Rd2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1.5k";;;
20;"Rf1,Rf2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"68k";;;
21;"U1";"Teensy-3.1";1;"Teensy_3.1";;;
22;"P7,P8";"Pin_Header_Straight_2x03_Pitch2.54mm";2;"CONN_02X03";;;
23;"P9";"Pin_Header_Straight_2x01_Pitch2.54mm";1;"Range";;;
24;"C4,C5,C6,C7";"C_0805_HandSoldering";4;"10u";;;
25;"R2,R8";"R_0603_HandSoldering";2;"500";;;
26;"R3,R9";"R_0603_HandSoldering";2;"10k";;;
27;"U3,U4";"DIP-14_W7.62mm_Socket";2;"MCP6004";;;
